technology,fuel,value
CHP_Biomass_Solid,Biomass,2.5
CHP_Biomass_Solid_CCS,Biomass,2.7778
CHP_Coal_Hardcoal,Coal,2.0921
CHP_Gas_CCGT_Natural,Gas,1.7065
CHP_Gas_CCGT_Natural_CCS,Gas,1.8961
CHP_Hydrogen_FuelCell,H2,2.0833
CHP_Oil,Oil,2.8571
HB_Direct_Electric,Power,1
HB_Gas_Boiler,Gas,1.0309
HB_H2_Boiler,H2,1.1111
HB_Heatpump_Aerial,Power,0.3404
HB_Oil_Boiler,Oil,1.087
PSNG_Road_BEV,Power,0.4
PSNG_Road_H2,H2,0.804
PSNG_Road_ICE,Oil,1.5712
PSNG_Road_LNG,Gas,1.5712
PSNG_Road_PHEV,Oil,1.1344
PSNG_Road_PHEV,Power,0.5097
P_Biomass,Biomass,3.3333
P_Coal_Hardcoal,Coal,2.5
P_Gas_CCGT,Gas,1.8315
P_Gas_CCS,Gas,2.035
P_H2_OCGT,H2,2.4038
P_Nuclear,Nuclear,3.0303
P_Oil,Oil,2.8571
X_Alkaline_Electrolysis,Power,1.7507
