year,technology,value
2020,CHP_Biomass_Solid,3130
2020,CHP_Biomass_Solid_CCS,5808
2020,CHP_Coal_Hardcoal,1940
2020,CHP_Gas_CCGT_Natural,1210
2020,CHP_Gas_CCGT_Natural_CCS,1760
2020,CHP_Hydrogen_FuelCell,6300
2020,CHP_Oil,870
2020,HB_Direct_Electric,685.69
2020,HB_Gas_Boiler,192.41
2020,HB_H2_Boiler,225.12
2020,HB_Heatpump_Aerial,731
2020,HB_Oil_Boiler,218.5
2020,HB_Solar_Thermal,678.57
2020,P_Biomass,2620
2020,P_Coal_Hardcoal,1650
2020,P_Gas_CCGT,1276
2020,P_Gas_CCS,2852
2020,P_H2_OCGT,892.7
2020,P_Hydro_Reservoir,1650
2020,P_Hydro_RoR,2560
2020,P_Nuclear,6000
2020,P_Oil,935.77
2020,P_PV_Utility_Avg,560
2020,P_Wind_Offshore_Deep,3000
2020,P_Wind_Onshore_Avg,1150
2020,PSNG_Road_BEV,1322.41
2020,PSNG_Road_H2,2502.69
2020,PSNG_Road_ICE,1016.53
2020,PSNG_Road_LNG,1086.62
2020,PSNG_Road_PHEV,1376.53
2020,R_Biomass,0.01
2030,CHP_Biomass_Solid,2750
2030,CHP_Biomass_Solid_CCS,5262.4
2030,CHP_Coal_Hardcoal,1940
2030,CHP_Gas_CCGT_Natural,1180
2030,CHP_Gas_CCGT_Natural_CCS,1742.4
2030,CHP_Hydrogen_FuelCell,4000
2030,CHP_Oil,850
2030,HB_Direct_Electric,652.16
2030,HB_Gas_Boiler,183.31
2030,HB_H2_Boiler,214.48
2030,HB_Heatpump_Aerial,621
2030,HB_Oil_Boiler,209.69
2030,HB_Solar_Thermal,623.81
2030,P_Biomass,1800
2030,P_Coal_Hardcoal,1650
2030,P_Gas_CCGT,1209.75
2030,P_Gas_CCS,2852
2030,P_H2_OCGT,856.02
2030,P_Hydro_Reservoir,2100
2030,P_Hydro_RoR,1670
2030,P_Nuclear,6000
2030,P_Oil,935.77
2030,P_PV_Utility_Avg,380
2030,P_Wind_Offshore_Deep,2800
2030,P_Wind_Onshore_Avg,1150
2030,PSNG_Road_BEV,754.17
2030,PSNG_Road_H2,933.8
2030,PSNG_Road_ICE,767.59
2030,PSNG_Road_LNG,830.09
2030,PSNG_Road_PHEV,761.11
2030,R_Biomass,0.01
2040,CHP_Biomass_Solid,2450
2040,CHP_Biomass_Solid_CCS,4840
2040,CHP_Coal_Hardcoal,1940
2040,CHP_Gas_CCGT_Natural,1160
2040,CHP_Gas_CCGT_Natural_CCS,1724.8
2040,CHP_Hydrogen_FuelCell,2550
2040,CHP_Oil,840
2040,HB_Direct_Electric,620.28
2040,HB_Gas_Boiler,174.63
2040,HB_H2_Boiler,204.32
2040,HB_Heatpump_Aerial,575
2040,HB_Oil_Boiler,199.69
2040,HB_Solar_Thermal,594.05
2040,P_Biomass,1700
2040,P_Coal_Hardcoal,1650
2040,P_Gas_CCGT,1189.88
2040,P_Gas_CCS,2576
2040,P_H2_OCGT,843.79
2040,P_Hydro_Reservoir,2100
2040,P_Hydro_RoR,1660
2040,P_Nuclear,6000
2040,P_Oil,935.77
2040,P_PV_Utility_Avg,320
2040,P_Wind_Offshore_Deep,2600
2040,P_Wind_Onshore_Avg,1100
2040,PSNG_Road_BEV,700
2040,PSNG_Road_H2,795.37
2040,PSNG_Road_ICE,767.59
2040,PSNG_Road_LNG,830.09
2040,PSNG_Road_PHEV,718.98
2040,R_Biomass,0.01
2050,CHP_Biomass_Solid,2180
2050,CHP_Biomass_Solid_CCS,4470.4
2050,CHP_Coal_Hardcoal,1940
2050,CHP_Gas_CCGT_Natural,1150
2050,CHP_Gas_CCGT_Natural_CCS,1707.2
2050,CHP_Hydrogen_FuelCell,1850
2050,CHP_Oil,830
2050,HB_Direct_Electric,589.95
2050,HB_Gas_Boiler,166.38
2050,HB_H2_Boiler,194.66
2050,HB_Heatpump_Aerial,528
2050,HB_Oil_Boiler,189.44
2050,HB_Solar_Thermal,564.29
2050,P_Biomass,1700
2050,P_Coal_Hardcoal,1650
2050,P_Gas_CCGT,1170
2050,P_Gas_CCS,2300
2050,P_H2_OCGT,831.56
2050,P_Hydro_Reservoir,2100
2050,P_Hydro_RoR,1650
2050,P_Nuclear,6000
2050,P_Oil,935.77
2050,P_PV_Utility_Avg,290
2050,P_Wind_Offshore_Deep,2400
2050,P_Wind_Onshore_Avg,1090
2050,PSNG_Road_BEV,645.83
2050,PSNG_Road_H2,656.94
2050,PSNG_Road_ICE,767.59
2050,PSNG_Road_LNG,830.09
2050,PSNG_Road_PHEV,676.85
2050,R_Biomass,0.01
2020,R_Coal_Hardcoal,0.01
2030,R_Coal_Hardcoal,0.01
2040,R_Coal_Hardcoal,0.01
2050,R_Coal_Hardcoal,0.01
2020,R_Gas,0.01
2030,R_Gas,0.01
2040,R_Gas,0.01
2050,R_Gas,0.01
2020,R_Nuclear,0.01
2030,R_Nuclear,0.01
2040,R_Nuclear,0.01
2050,R_Nuclear,0.01
2020,R_Oil,0.01
2030,R_Oil,0.01
2040,R_Oil,0.01
2050,R_Oil,0.01
2020,X_Alkaline_Electrolysis,1050
2030,X_Alkaline_Electrolysis,520
2040,X_Alkaline_Electrolysis,397
2050,X_Alkaline_Electrolysis,275
