year,technology,region,value
2020,DE,CHP_Biomass_Solid,7.7174
2030,DE,CHP_Biomass_Solid,7.7174
2040,DE,CHP_Biomass_Solid,6.9456
2050,DE,CHP_Biomass_Solid,5.788
2020,DE,CHP_Coal_Hardcoal,12.0531
2030,DE,CHP_Coal_Hardcoal,3.3927
2040,DE,CHP_Coal_Hardcoal,0
2050,DE,CHP_Coal_Hardcoal,0
2020,DE,CHP_Gas_CCGT_Natural,25.8627
2030,DE,CHP_Gas_CCGT_Natural,21.6718
2040,DE,CHP_Gas_CCGT_Natural,13.6099
2050,DE,CHP_Gas_CCGT_Natural,1.482
2020,DE,CHP_Oil,1.1023
2030,DE,CHP_Oil,0
2040,DE,CHP_Oil,0
2050,DE,CHP_Oil,0
2020,DE,P_Biomass,9.407
2030,DE,P_Biomass,7.125
2040,DE,P_Biomass,6.332
2050,DE,P_Biomass,6.327
2020,DE,P_Coal_Hardcoal,12.9819
2030,DE,P_Coal_Hardcoal,7.1598
2040,DE,P_Coal_Hardcoal,5.0669
2050,DE,P_Coal_Hardcoal,5.0669
2020,DE,P_Gas_CCGT,12.372
2030,DE,P_Gas_CCGT,9.578
2040,DE,P_Gas_CCGT,8.7367
2050,DE,P_Gas_CCGT,0
2020,DE,P_Hydro_Reservoir,1.44
2030,DE,P_Hydro_Reservoir,1.191
2040,DE,P_Hydro_Reservoir,1.191
2050,DE,P_Hydro_Reservoir,1.191
2020,DE,P_Hydro_RoR,3.86
2030,DE,P_Hydro_RoR,3.86
2040,DE,P_Hydro_RoR,3.86
2050,DE,P_Hydro_RoR,3.86
2020,DE,P_Nuclear,9.516
2030,DE,P_Nuclear,0
2040,DE,P_Nuclear,0
2050,DE,P_Nuclear,0
2020,DE,P_Oil,3.271
2030,DE,P_Oil,2.3242
2040,DE,P_Oil,0.1438
2050,DE,P_Oil,0.0838
2020,DE,P_PV_Utility_Avg,42.804
2030,DE,P_PV_Utility_Avg,42.804
2040,DE,P_PV_Utility_Avg,0
2050,DE,P_PV_Utility_Avg,0
2020,DE,P_Wind_Onshore_Avg,52.259
2030,DE,P_Wind_Onshore_Avg,52.9
2040,DE,P_Wind_Onshore_Avg,0
2050,DE,P_Wind_Onshore_Avg,0
2020,DE,HB_Direct_Electric,1.9919
2030,DE,HB_Direct_Electric,1.4228
2040,DE,HB_Direct_Electric,0.2846
2020,DE,HB_Gas_Boiler,138.9049
2030,DE,HB_Gas_Boiler,99.2178
2040,DE,HB_Gas_Boiler,19.8436
2020,DE,HB_Heatpump_Aerial,1.199
