technology,value
CHP_Biomass_Solid,1
CHP_Biomass_Solid_CCS,1
CHP_Coal_Hardcoal,1
CHP_Gas_CCGT_Natural,1
CHP_Gas_CCGT_Natural_CCS,1
CHP_Hydrogen_FuelCell,1
CHP_Oil,1
HB_Biomass,1
HB_Direct_Electric,1
HB_Gas_Boiler,1
HB_H2_Boiler,1
HB_Heatpump_Aerial,1
HB_Oil_Boiler,1
HB_Solar_Thermal,0
P_Biomass,1
P_Coal_Hardcoal,1
P_Gas_CCGT,1
P_Gas_CCS,1
P_H2_OCGT,1
P_Hydro_Reservoir,1
P_Hydro_RoR,0
P_Nuclear,1
P_Oil,1
P_PV_Utility_Avg,0
P_Wind_Offshore_Deep,0
P_Wind_Onshore_Avg,0
PSNG_Road_BEV,1
PSNG_Road_H2,1
PSNG_Road_ICE,1
PSNG_Road_LNG,1
PSNG_Road_PHEV,1
R_Coal_Hardcoal,1
R_Nuclear,1
R_Oil,1
R_Biomass,1
X_Alkaline_Electrolysis,1
