technology,value
CHP_Biomass_Solid,0
CHP_Biomass_Solid_CCS,0
CHP_Coal_Hardcoal,0
CHP_Gas_CCGT_Natural,0
CHP_Gas_CCGT_Natural_CCS,0
CHP_Hydrogen_FuelCell,0
CHP_Oil,0
HB_Biomass,0
HB_Direct_Electric,0
HB_Gas_Boiler,0
HB_H2_Boiler,0
HB_Heatpump_Aerial,0
HB_Oil_Boiler,0
HB_Solar_Thermal,0
P_Biomass,0
P_Coal_Hardcoal,0
P_Gas_CCGT,0
P_Gas_CCS,0
P_H2_OCGT,0
P_Hydro_Reservoir,0
P_Hydro_RoR,0
P_Nuclear,0
P_Oil,0
P_PV_Utility_Avg,1
P_Wind_Offshore_Deep,1
P_Wind_Onshore_Avg,1
PSNG_Road_BEV,0
PSNG_Road_H2,0
PSNG_Road_ICE,0
PSNG_Road_LNG,0
PSNG_Road_PHEV,0
R_Gas,0
R_Coal_Hardcoal,0
R_Nuclear,0
R_Oil,0
R_Biomass,0
X_Alkaline_Electrolysis,0
