technology,value
CHP_Biomass_Solid,25
CHP_Biomass_Solid_CCS,25
CHP_Coal_Hardcoal,25
CHP_Gas_CCGT_Natural,25
CHP_Gas_CCGT_Natural_CCS,25
CHP_Hydrogen_FuelCell,13
CHP_Oil,15
HB_Biomass,30
HB_Direct_Electric,30
HB_Gas_Boiler,22.5
HB_H2_Boiler,15
HB_Heatpump_Aerial,18
HB_Oil_Boiler,20
HB_Solar_Thermal,25
P_Biomass,40
P_Coal_Hardcoal,41
P_Gas_CCGT,25
P_Gas_CCS,41
P_H2_OCGT,25
P_Hydro_Reservoir,60
P_Hydro_RoR,50
P_Nuclear,61
P_Oil,30
P_PV_Utility_Avg,35
P_Wind_Offshore_Deep,30
P_Wind_Onshore_Avg,27
PSNG_Road_BEV,18.4
PSNG_Road_H2,20
PSNG_Road_ICE,17.8
PSNG_Road_LNG,17.8
PSNG_Road_PHEV,25
R_Biomass,100
R_Coal_Hardcoal,100
R_Gas,100
R_Nuclear,100
R_Oil,100
X_Alkaline_Electrolysis,25
