year,technology,value
2020,CHP_Biomass_Solid,0.003
2030,CHP_Biomass_Solid,0.003
2040,CHP_Biomass_Solid,0.003
2050,CHP_Biomass_Solid,0.003
2020,CHP_Biomass_Solid_CCS,0.003
2030,CHP_Biomass_Solid_CCS,0.003
2040,CHP_Biomass_Solid_CCS,0.003
2050,CHP_Biomass_Solid_CCS,0.003
2020,CHP_Coal_Hardcoal,0.005
2030,CHP_Coal_Hardcoal,0.005
2040,CHP_Coal_Hardcoal,0.005
2050,CHP_Coal_Hardcoal,0.005
2020,CHP_Gas_CCGT_Natural,0.004
2030,CHP_Gas_CCGT_Natural,0.004
2040,CHP_Gas_CCGT_Natural,0.004
2050,CHP_Gas_CCGT_Natural,0.004
2020,CHP_Gas_CCGT_Natural_CCS,0.004
2030,CHP_Gas_CCGT_Natural_CCS,0.004
2040,CHP_Gas_CCGT_Natural_CCS,0.004
2050,CHP_Gas_CCGT_Natural_CCS,0.004
2020,CHP_Hydrogen_FuelCell,0.065
2030,CHP_Hydrogen_FuelCell,0.025
2040,CHP_Hydrogen_FuelCell,0.01
2050,CHP_Hydrogen_FuelCell,0.008
2020,CHP_Oil,0.004
2030,CHP_Oil,0.004
2040,CHP_Oil,0.004
2050,CHP_Oil,0.004
2020,HB_Direct_Electric,0.001
2030,HB_Direct_Electric,0.001
2040,HB_Direct_Electric,0.001
2050,HB_Direct_Electric,0.001
2020,HB_Gas_Boiler,0.001
2030,HB_Gas_Boiler,0.001
2040,HB_Gas_Boiler,0.001
2050,HB_Gas_Boiler,0.001
2020,HB_H2_Boiler,0.001
2030,HB_H2_Boiler,0.001
2040,HB_H2_Boiler,0.001
2050,HB_H2_Boiler,0.001
2020,HB_Heatpump_Aerial,0.001
2030,HB_Heatpump_Aerial,0.001
2040,HB_Heatpump_Aerial,0.001
2050,HB_Heatpump_Aerial,0.001
2020,HB_Oil_Boiler,0.001
2030,HB_Oil_Boiler,0.001
2040,HB_Oil_Boiler,0.001
2050,HB_Oil_Boiler,0.001
2020,HB_Solar_Thermal,0.001
2030,HB_Solar_Thermal,0.001
2040,HB_Solar_Thermal,0.001
2050,HB_Solar_Thermal,0.001
2020,PSNG_Road_BEV,0.001
2030,PSNG_Road_BEV,0.001
2040,PSNG_Road_BEV,0.001
2050,PSNG_Road_BEV,0.001
2020,PSNG_Road_H2,0.001
2030,PSNG_Road_H2,0.001
2040,PSNG_Road_H2,0.001
2050,PSNG_Road_H2,0.001
2020,PSNG_Road_ICE,0.001
2030,PSNG_Road_ICE,0.001
2040,PSNG_Road_ICE,0.001
2050,PSNG_Road_ICE,0.001
2020,PSNG_Road_PHEV,0.001
2030,PSNG_Road_PHEV,0.001
2040,PSNG_Road_PHEV,0.001
2050,PSNG_Road_PHEV,0.001
2020,P_Biomass,0.004
2030,P_Biomass,0.004
2040,P_Biomass,0.004
2050,P_Biomass,0.004
2020,P_Coal_Hardcoal,0.002
2030,P_Coal_Hardcoal,0.002
2040,P_Coal_Hardcoal,0.002
2050,P_Coal_Hardcoal,0.002
2020,P_Gas_CCGT,0.007
2030,P_Gas_CCGT,0.007
2040,P_Gas_CCGT,0.007
2050,P_Gas_CCGT,0.007
2020,P_Gas_CCS,0.001
2030,P_Gas_CCS,0.001
2040,P_Gas_CCS,0.001
2050,P_Gas_CCS,0.001
2020,P_H2_OCGT,0.007
2030,P_H2_OCGT,0.006
2040,P_H2_OCGT,0.006
2050,P_H2_OCGT,0.006
2020,P_Hydro_Reservoir,0.003
2030,P_Hydro_Reservoir,0.001
2040,P_Hydro_Reservoir,0.001
2050,P_Hydro_Reservoir,0.001
2020,P_Hydro_RoR,0.001
2030,P_Hydro_RoR,0.001
2040,P_Hydro_RoR,0.001
2050,P_Hydro_RoR,0.001
2020,P_Nuclear,0.006
2030,P_Nuclear,0.007
2040,P_Nuclear,0.008
2050,P_Nuclear,0.008
2020,P_Oil,0.006
2030,P_Oil,0.006
2040,P_Oil,0.006
2050,P_Oil,0.006
2020,P_PV_Utility_Avg,0.001
2030,P_PV_Utility_Avg,0.001
2040,P_PV_Utility_Avg,0.001
2050,P_PV_Utility_Avg,0.001
2020,P_Wind_Offshore_Deep,0.001
2030,P_Wind_Offshore_Deep,0.001
2040,P_Wind_Offshore_Deep,0.001
2050,P_Wind_Offshore_Deep,0.001
2020,P_Wind_Onshore_Avg,0.003
2030,P_Wind_Onshore_Avg,0.003
2040,P_Wind_Onshore_Avg,0.003
2050,P_Wind_Onshore_Avg,0.003
2020,R_Coal_Hardcoal,0.008
2030,R_Coal_Hardcoal,0.009
2040,R_Coal_Hardcoal,0.011
2050,R_Coal_Hardcoal,0.011
2020,R_Gas,0.0022
2030,R_Gas,0.0033
2040,R_Gas,0.004
2050,R_Gas,0.004
2020,R_Nuclear,0.0003
2030,R_Nuclear,0.0003
2040,R_Nuclear,0.0003
2050,R_Nuclear,0.0003
2020,R_Oil,0.0035
2030,R_Oil,0.0044
2040,R_Oil,0.0043
2050,R_Oil,0.0043
2020,R_Biomass,0.0014
2030,R_Biomass,0.0015
2040,R_Biomass,0.0016
2050,R_Biomass,0.0016
